Dia,Mes,etiqueta
25,1,@uramonllull @cescept
26,1,@LluisMontoliu @TuSocialMedia
27,1,@elfisicobarbudo
28,1,@queenofquanta
29,1,@CarmenAgustin @LOPEZMASCARAQUE @mujerconciencia 
30,1,@hayquehacerla @tercosmicqueen
31,1,@loretahur @shora
1,2,@iaa_csic
2,2,@Nebesu_
3,2,@Ununcuadio
4,2,@pakitochus
5,2,@el_pakozoico @ArqueoInquieta
6,2,@esa_es @PlanetarioMad
7,2,@geologoenapuros
8,2,@bioamara @BiotecX_
9,2,@manuelfherrador
10,2,@emulenews
11,2,@garirius @ProyectoMeitner
12,2,@Honey_LimitedEd
13,2,@ClaraGrima @MartaMachoS
14,2,@CireniaSketches @CSICdivulga
15,2,@GVAfisabio
16,2,@pablorros_
17,2,@mujerconciencia @geologoenapuros
18,2,@Ununcuadio @MelliToral
19,2,@Carrie_Catgirl @jaimealtozano
20,2,@victagua @_Sara_Varela
21,2,@Avillafranca_
22,2,@MasTwitts @NEC_blog
23,2,@bioamara @mujerconciencia
24,2,@metilado
25,2,@Alexny_85
26,2,@PatriLiVG @LauraMParro
27,2,@boticariagarcia
28,2,@depocholate
1,3,@AEMET_Esp
2,3,@sailormerqury @mujerconciencia
3,3,@RamonNogueras @Cerebrotes
4,3,@Anibal_Bueno_
5,3,@julesanchez28
6,3,@AliciaPelegrina
7,3,@IAC_Astrofisica
8,3,@loretahur
9,3,@javierarmentia
10,3,@PatriLiVG
11,3,@RaquelBlascoR
12,3,@shora
13,3,@manuelfherrador
14,3,@astro_duque
15,3,@TelecoUPV
16,3,@bioamara
17,3,@farmagemma
18,3,@RSEF_ESP
19,3,@pablorros_
20,3,@ElObjetivoVerde
21,3,@manolux4444
22,3,@AndreuEscriva @mujerconciencia
23,3,@CNB_CSIC @CSIC @infecciosasryc
24,3,@Ciencia_miuda
25,3,@LostTransposon
26,3,@javierpadillab
27,3,@Nebesu_
28,3,@DrBioblogo
29,3,@AinoaGmez1
30,3,@Fundeu @Bibliotecas_IC
31,3,@IFS_CSIC @REF_Filosofia
1,4,@Diplotaxis @mujerconciencia
2,4,@ift_uam_csic
3,4,@JaneGoodallEspa @Biologus_agri
4,4,@MartaMachoS @sailormerqury
5,4,@byribosoma
6,4,@thequeercanibot
7,4,@mc2coruna
8,4,@bioamara
9,4,@barbersscience @radioclasica
10,4,@IGME1849 @ucc_complutense @CIATF
11,4,@iismadrid
12,4,@PatriLiVG
13,4,@pablorros_ @IGME1849
14,4,@geologoenapuros
15,4,@PutoMikel
16,4,@metilado
17,4,@Letirroja
18,4,@RamonNogueras
19,4,@cgdoval
